Cell_ID,ID,Firing_Pattern,Input_Resistance,Tau_Membrane,Threshold_Current,AP_Halfwidth,Max_DepolRate,Max_RepolRate,AP_Amplitude,Voltage_Threshold,RMP,Sag_90mV,Latency,Depol_Block,Spikes_200pA
03232022_S1C2,P9_TeNT,Tonic,0.1375,7.09,140,0.27232,352.74,-223.689,49.5244,-40.6081,-67.21,6.658,4.89061,0,32
10142022_S1C1,P9_TeNT,Tonic,0.4025,11.43,40,0.34021,252.627,-183.8,50.1188,-44.6439,-66.95,6.127,6.00502,1,54
12172022_S1C1,P9_TeNT,Tonic,0.425,14.15,40,0.329275,314.416,-176.761,49.5869,-43.6115,-75.02,2.973,9.5258,1,48
12172022_S2C1,P9_TeNT,Tonic,0.1235,8.5,200,0.244619,581.904,-317.544,69.2966,-47.835,-68.32,9.062,3.18656,0,4
12172022_S2C4,P9_TeNT,Tonic,0.2643,15.47,60,0.265055,600.675,-259.667,64.7602,-43.3299,-69.64,4.352,6.88182,0,39
12172022_S3C1,P9_TeNT,Tonic,0.2253,13.35,120,0.312941,456.763,-204.918,59.5669,-47.8975,-74.28,4.219,5.57137,0,28
02062024_S1C1,P9_TeNT,Tonic,0.1925,9.58,160,0.380201,235.421,-150.951,45.7076,-45.7076,-75.6,4.991,4.7586,0,21
02062024_S4C1,P9_TeNT,Tonic,0.1985,10.54,100,0.289833,424.696,-219.778,55.8752,-37.8237,-64.72,7.503,6.21648,0,33
02072024_S1C1,P9_TeNT,Tonic,0.1588,7.62,140,0.236699,653.077,-355.086,72.0497,-46.302,-67.68,6.643,3.31711,0,41
02072024_S3C1,P9_TeNT,Tonic,0.197,6.8,100,0.259415,502.126,-304.248,63.853,-37.9802,-62.85,10.634,4.76654,0,34
02132024_S1C1,P9_TeNT,Tonic,0.1705,7.24,100,0.348963,344.136,-195.532,59.0663,-37.1355,-63.45,11.64,4.9902,0,41
04142024_S1C1,P9_TeNT,Tonic,0.2455,15.71,50,0.47535,303.466,-156.426,64.2909,-47.0528,-73.37,6.009,5.2416,0,20
12232024_S1C1,P9_TeNT,Tonic,0.165,10.71,110,0.266517,466.148,-333.969,68.8273,-45.5512,-71.36,7.1,6.34029,0,33
12232024_S2C3,P9_TeNT,Tonic,0.3058,17.68,70,0.332138,366.818,-205.7,58.8473,-43.7992,-69.03,3.638,7.5656,0,38
08122022_S1C2,P9_iMNTB,Phasic,0.1643,7.11,220,0.289953,375.422,-237.767,55.7188,-51.4953,-73.18,5.271,2.2091,0,0
08122022_S1C3,P9_iMNTB,Phasic,0.2175,8.34,200,0.380257,270.616,-165.029,51.2138,-48.8361,-71.24,7.55,2.47179,0,1
08122022_S2C1,P9_iMNTB,Phasic,0.1963,7.28,160,0.282267,364.472,-241.678,56.3758,-49.2428,-71.23,7.802,2.51926,0,1
08122022_S2C2,P9_iMNTB,Phasic,0.3973,11.74,120,0.284406,366.818,-255.756,58.5345,-46.9277,-72.5,7.842,3.25512,0,1
03232022_S1C3,P9_iMNTB,Phasic,0.1195,5.91,240,0.25597,437.992,-307.376,63.1021,-45.207,-67.19,8.439,2.10332,0,0
03232022_S1C4,P9_iMNTB,Phasic,0.187,5.6,220,0.349107,223.689,-143.912,39.388,-44.55,-76.1,4.694,2.98576,0,0
10142022_S1C2,P9_iMNTB,Phasic,0.1573,6.92,320,0.261252,330.84,-263.577,50.0249,-48.492,-77.3,4.208,2.46352,0,0
10142022_S1C3,P9_iMNTB,Tonic,0.355,13.41,100,0.248439,416.874,-337.097,61.663,-53.216,-74,3.135,2.73474,0,48
12172022_S2C2,P9_iMNTB,Phasic,0.2083,9.92,200,0.300471,319.89,-252.627,58.5345,-48.711,-72.58,7.41,2.87478,0,1
12172022_S2C3,P9_iMNTB,Phasic,0.2298,11.74,80,0.319512,236.203,-161.118,42.6416,-40.045,-75.91,4.75,9.32121,0,2
02062024_S2C2,P9_iMNTB,Tonic,0.2455,6.55,160,0.238625,575.646,-336.315,66.0116,-46.4271,-72.2,5.814,2.45736,0,6
02062024_S3C1,P9_iMNTB,Phasic,0.111,6.5,280,0.18994,712.519,-453.634,70.329,-49.3054,-72.22,5.744,2.38121,0,0
02072024_S2C1,P9_iMNTB,Phasic,0.2168,8.64,160,0.24219,429.388,-297.209,56.5948,-42.5478,-69.71,9.076,3.07631,0,1
02072024_S2C2,P9_iMNTB,Phasic,0.1345,6.06,160,0.214201,585.814,-402.014,66.5435,-50.6819,-71.68,7.442,2.74049,0,1
02072024_S3C2,P9_iMNTB,Phasic,0.1665,6.54,140,0.283002,387.154,-308.941,65.0731,-44.4875,-66.88,9.139,3.00879,0,2
02072024_S3C3,P9_iMNTB,Phasic,0.1698,8.97,140,0.262188,440.338,-320.673,65.6362,-53.5601,-74.27,4.442,3.05322,0,1
04142024_S1C2,P9_iMNTB,Phasic,0.208,11.49,115,0.42259,294.08,-189.275,61.5379,-48.8674,-76.42,2.557,4.20281,1,1
12232024_S1C2,P9_iMNTB,Phasic,0.2495,9.99,120,0.26314,445.813,-363.69,71.9245,-55.2808,-81.65,1.305,3.17107,0,2
12232024_S1C4,P9_iMNTB,Tonic,0.251,12.41,100,0.234791,590.507,-450.506,76.5234,-52.2149,-75.39,5.153,3.29172,0,9
06222022_S1C2,P14_TeNT,Tonic,0.3988,9.06,20,0.170451,757.882,-628.831,76.0854,-52.56,-72.47,1.515,,,75
06222022_S2C1,P14_TeNT,Tonic,0.263,14.07,60,0.212636,450.506,-358.997,57.1579,-43.4238,-62.45,11.722,,,46
01092023_S1C1,P14_TeNT,Tonic,0.3683,12.48,20,0.163206,689.055,-646.82,74.5212,-48.8361,-60.51,10.657,,,66
03152023_S1C2,P14_TeNT,Tonic,0.309,12.5,80,0.148413,845.481,-696.094,77.7436,-54.8428,-75.87,6.018,,,52
03152023_S1C3,P14_TeNT,Phasic,0.172,11.51,200,0.15855,743.804,-610.06,73.7391,-53.9043,-75.88,4.258,,,3
06092023_S1C1,P14_TeNT,Tonic,0.3168,14.58,100,0.18934,561.568,-455.199,66.1368,-56.2194,-77.34,2.967,,,34
12262024_S1C1,P14_TeNT,Tonic,0.1643,7.75,90,0.254157,441.902,-331.622,61.1624,-54.9993,-74.17,3.754,,,5
04172025_S1C1,P14_TeNT,Tonic,0.3007,8.28,50,0.255686,472.405,-277.656,59.9423,-46.959,-70.0761,6.990928312,,,54
04172025_S2C1,P14_TeNT,Tonic,0.2663,12.99,70,0.184562,764.139,-628.831,80.6531,-53.3724,-74.6779,4.804314331,,,47
04182025_S1C1,P14_TeNT,Tonic,0.5393,15.49,10,0.200896,646.82,-484.137,72.2374,-54.2171,-64.9164,2.982456396,,,61
04182025_S1C3,P14_TeNT,Phasic,0.2146,5.73,70,0.174031,677.323,-586.596,72.7066,-49.7121,-66.532,6.611722359,,,2
06222022_S1C3,P14_iMNTB,Phasic,0.1878,7.46,120,0.22333,396.539,-381.679,57.5021,-51.7456,-71.39,4.864,,,1
06222022_S1C4,P14_iMNTB,Tonic,0.2473,15.98,80,0.232001,367.6,-351.176,58.0965,-56.063,-70.61,5.693,,,11
06222022_S2C2,P14_iMNTB,Phasic,0.1948,8.47,120,0.241435,340.226,-326.93,55.3747,-51.3076,-67.39,7.428,,,2
06222022_S2C3,P14_iMNTB,Phasic,0.147,5.59,160,0.277699,307.376,-272.963,55.2808,-53.6227,-73.77,4.173,,,1
01092023_S1C2,P14_iMNTB,Tonic,0.3958,10.77,40,0.1527,603.803,-705.48,69.5468,-51.5892,-68.17,8.242,,,94
01092023_S2C2,P14_iMNTB,Tonic,0.1245,5.72,100,0.169064,588.943,-564.697,64.0094,-52.3713,-71.39,7.473,,,20
01092023_S2C3,P14_iMNTB,Tonic,0.2198,7.59,60,0.178237,624.921,-484.137,65.9803,-56.0317,-71.92,6.18,,,48
03152023_S1C1,P14_iMNTB,Phasic,0.1088,6.27,200,0.195909,546.778,-441.224,61.6865,-52.8463,-72.36,5.674,,,1
03152023_S1C4,P14_iMNTB,Phasic,0.467,9.47,160,0.188117,454.417,-401.232,55.0931,-47.0216,-76.49,3.311,,,1
06092023_S1C2,P14_iMNTB,Phasic,0.1188,7.21,260,0.235148,405.143,-316.762,54.0607,-51.8395,-74.18,3.744,,,0
12262024_S1C3,P14_iMNTB,Tonic,0.237,9.67,90,0.233998,454.417,-418.439,69.672,-56.3758,-75.66,3.509,,,34
12262024_S2C2,P14_iMNTB,Phasic,0.1738,8.27,110,0.262816,362.908,-326.148,59.8172,-52.8406,-70.75,4.986,,,1
12262024_S2C3,P14_iMNTB,Tonic,0.2768,9.99,70,0.197781,628.049,-434.863,67.0753,-54.092,-74.7,4.057,,,22
04172025_S1C2,P14_iMNTB,Phasic,0.2046,7.64,120,0.243103,387.936,-329.276,58.5345,-52.5903,-75.4683,4.107526778,,,1
04172025_S2C2,P14_iMNTB,Phasic,0.1947,6.01,130,0.291623,322.237,-256.538,58.5658,-52.6529,-73.6548,7.443952877,,,1
01102021_S1C2,P0_NonInjected,Tonic,0.6053,28.54,40,1.26093,100.319,-37.0623,40.2117,-44.4968,-74.0242,3.52518954,,1,
01102021_S2C2,P0_NonInjected,Phasic,0.6871,33.06,40,2.4211,28.4515,-8.6342,15.9839,-39.4064,-64.7404,2.737702866,,1,
04262022_S1C1,P0_NonInjected,Phasic,0.8149,33.09,40,2.04102,47.618,-18.0838,27.1087,-44.9663,-65.8531,3.264,,1,
05072022_S1C1,P0_NonInjected,Tonic,0.7959,41.29,20,1.20703,55.7935,-37.9644,28.4319,-40.07865,-76.8075,0.716,,1,
05072022_S2C1,P0_NonInjected,Phasic,0.6667,21.33,20,1.72725,45.7341,-25.2315,29.9821,-42.2021,-59.94,6.150320762,,1,
07212022_S1C1,P0_NonInjected,Tonic,0.8563,38.73,40,1.36222,69.7009,-35.351,35.8611,-46.3533,-68.4203,3.126797943,,1,
07222022_S2C1,P0_NonInjected,Phasic,0.6959,32.87,40,1.176542,28.581,-14.3752,17.6542,-39.0075,-67.8525,3.0766184,,1,
09052022_S1C1,P0_NonInjected,Phasic,0.8465,45.9,40,1.4868,67.0721,-27.1535,34.0505,-42.4207,-60.4742,1.017993543,,1,
09052022_S2C1,P0_NonInjected,Phasic,0.9881,44.98,20,1.64453,33.9931,-11.0365,14.2962,-35.2192,-59.3938,0.8716553,,1,
04032022_S1C1,P1_NonInjected,Phasic,0.4686,18.03,80,1.29,78.17,-27.58,31.35,-42.83,-71.08,4.94,,1,
04272022_S1C1,P1_NonInjected,Tonic,0.5237,20.55,60,1.1,67.02,-40.36,33.86,-41.85,-72.28,4.58,,1,
04272022_S1C3,P1_NonInjected,Phasic,0.7333,37.49,20,1.55,22.6,-16.32,17.84,-37.43,-67.07,4.25,,1,
05202022_S1C1,P1_NonInjected,Tonic,0.4839,19.81,20,1.11,88.04,-43.05,39.67,-44.49,-78.26,4.55,,1,
05202022_S2C1,P1_NonInjected,Tonic,0.7529,27.7,20,1.31,58.33,-32.47,29.03,-41.94,-66.17,4.35,,1,
08252022_S1C1,P1_NonInjected,Tonic,0.5992,23.7,60,0.885,110.61,-54.65,40.84,-46.23,-74.85,4.09,,1,
08252022_Evening_S1C2,P1_NonInjected,Tonic,0.4421,22.12,20,1.77,59.3,-23.56,29.44,-43.95,-73.81,6.06,,1,
08252022_Evening_S2C1,P1_NonInjected,Tonic,0.3823,16.36,120,1.26,55.03,-33.25,25.14,-37.11,-71.25,4.91,,1,
10052022_S1C1,P1_NonInjected,Phasic,0.6345,25.1,20,1.52,41.38,-20.41,20.2,-43.72,-78.54,3.03,,1,
11022022_S1C1,P1_NonInjected,Tonic,0.4749,19.46,20,0.917,138.66,-45.48,41.39,-37.63,-67.63,8.78,,1,
11022022_S2C1,P1_NonInjected,Tonic,0.2995,10.89,60,0.88,108.36,-52.72,38.19,-44.21,-78.59,3.61,,1,
07012022_S1C1,P2_NonInjected,Tonic,0.445,24.3,40,1.3,84.55,-30.63,34.13,-44.07,-66.45,4.74,,1,
08262022_S1C1,P2_NonInjected,Tonic,0.5425,21.74,40,0.753,170.45,-59.82,47.26,-44.8,-69.28,5.57,,1,
11032022_S1C1,P2_NonInjected,Tonic,0.2295,20.32,20,1.16,94.12,-39.8,33.94,-44.3,-72.61,5.63,,1,
11032022_S2C1,P2_NonInjected,Tonic,0.4746,10.34,100,0.896,102.05,-45.83,33.45,-45.81,-78.25,4.6,,1,
12072022_S1C1,P2_NonInjected,Tonic,0.337,12.89,60,0.714,170.77,-75.99,48.81,-49.02,-78.57,3.57,,1,
02222022_S1C4,P2_NonInjected,Tonic,0.4192,17.52,20,0.955,141.86,-46.14,44.28,-40.76,-68.12,6.59,,1,
05032022_S1C1,P2_NonInjected,Tonic,0.3796,17.66,40,1.27,62.49,-35.48,33.96,-36.73,-52.56,6.16,,1,
05092022_S1C2,P2_NonInjected,Tonic,0.3366,15.82,40,1.22,90.59,-32.41,32.35,-40.88,-71.71,4.48,,1,
05092022_Evening_S1C2,P2_NonInjected,Tonic,0.8121,35.23,20,1.14,63.47,-39.75,30.65,-39.96,-64.99,1.75,,1,
06032022_S2C1,P2_NonInjected,Tonic,0.4846,21.86,100,1.31,43.39,-20.9,21.57,-37.9,-70.17,3.88,,1,
05042022_S2C1,P3_NonInjected,Tonic,0.2649,9.62,180,0.723,142.72,-53.04,37.59,-40.88,-72.76,6.12,,1,
