Cell_ID,ID,Firing_Pattern,Input_Resistance,Tau_Membrane,RMP,Spikes_200pA,Threshold_Current,AP_Amplitude,AP_Halfwidth,Voltage_Threshold,Max_DepolRate,Max_RepolRate,Sag_90mV,Depol_Block
02072024_S3C1,P9_TeNT,Tonic,0.197,6.8,-62.85,34,100,63.853,0.259415,-37.9802,502.126,-304.248,10.634,0
02132024_S1C1,P9_TeNT,Tonic,0.1705,7.24,-63.45,41,100,59.0663,0.348963,-37.1355,344.136,-195.532,11.64,0
04142024_S1C1,P9_TeNT,Tonic,0.2455,15.71,-73.37,20,50,64.2909,0.47535,-47.0528,303.466,-156.426,6.009,0
12232024_S2C3,P9_TeNT,Tonic,0.165,10.71,-71.36,33,110,68.8273,0.266517,-45.5512,466.148,-333.969,7.1,0
12232024_S1C1,P9_TeNT,Tonic,0.3058,17.68,-69.03,38,70,58.8473,0.332138,-43.7992,366.818,-205.7,3.638,0
08122022_S1C2,P9_iMNTB,Phasic,0.1643,7.11,-73.18,0,220,55.7188,0.289953,-51.4953,375.422,-237.767,5.271,0
08122022_S1C3,P9_iMNTB,Phasic,0.2175,8.34,-71.24,1,200,51.2138,0.380257,-48.8361,270.616,-165.029,7.55,0
08122022_S2C1,P9_iMNTB,Phasic,0.1963,7.28,-71.23,1,160,56.3758,0.282267,-49.2428,364.472,-241.678,7.802,0
08122022_S2C2,P9_iMNTB,Phasic,0.3973,11.74,-72.5,1,120,58.5345,0.284406,-46.9277,366.818,-255.756,7.842,0
03232022_S1C3,P9_iMNTB,Phasic,0.1195,5.91,-67.19,0,240,63.1021,0.25597,-45.207,437.992,-307.376,8.439,0
03232022_S1C4,P9_iMNTB,Phasic,0.187,5.6,-76.1,0,220,39.388,0.349107,-44.55,223.689,-143.912,4.694,0
10142022_S1C2,P9_iMNTB,Phasic,0.1573,6.92,-77.3,0,320,50.0249,0.261252,-48.492,330.84,-263.577,4.208,0
10142022_S1C3,P9_iMNTB,Tonic,0.355,13.41,-74,48,100,61.663,0.248439,-53.216,416.874,-337.097,3.135,1
12172022_S2C2,P9_iMNTB,Phasic,0.2083,9.92,-72.58,1,200,58.5345,0.300471,-48.711,319.89,-252.627,7.41,0
12172022_S2C3,P9_iMNTB,Phasic,0.2298,11.74,-75.91,2,80,42.6416,0.319512,-40.045,236.203,-161.118,4.75,0
02062024_S2C2,P9_iMNTB,Tonic,0.2455,6.55,-72.2,6,160,66.0116,0.238625,-46.4271,575.646,-336.315,5.814,0
02062024_S3C1,P9_iMNTB,Phasic,0.111,6.5,-72.22,0,280,70.329,0.18994,-49.3054,712.519,-453.634,5.744,0
02072024_S2C1,P9_iMNTB,Phasic,0.2168,8.64,-69.71,1,160,56.5948,0.24219,-42.5478,429.388,-297.209,9.076,0
02072024_S2C2,P9_iMNTB,Phasic,0.1345,6.06,-71.68,1,160,66.5435,0.214201,-50.6819,585.814,-402.014,7.442,0
02072024_S3C2,P9_iMNTB,Phasic,0.1665,6.54,-66.88,2,140,65.0731,0.283002,-44.4875,387.154,-308.941,9.139,0
02072024_S3C3,P9_iMNTB,Phasic,0.1698,8.97,-74.27,1,140,65.6362,0.262188,-53.5601,440.338,-320.673,4.442,0
04142024_S1C2,P9_iMNTB,Phasic,0.208,11.49,-76.42,1,115,61.5379,0.42259,-48.8674,294.08,-189.275,2.557,1
12232024_S1C2,P9_iMNTB,Phasic,0.2495,9.99,-81.65,2,120,71.9245,0.26314,-55.2808,445.813,-363.69,1.305,0
12232024_S1C4,P9_iMNTB,Tonic,0.251,12.41,-75.39,9,100,76.5234,0.234791,-52.2149,590.507,-450.506,5.153,0
,P14_TeNT,Tonic,0.3988,9.06,-72.47,75,20,76.0854,0.170451,-52.56,757.882,-628.831,1.515,0
,P14_TeNT,Tonic,0.263,14.07,-62.45,46,60,57.1579,0.212636,-43.4238,450.506,-358.997,11.722,0
